date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Brighton,home_Burnley,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Leeds United,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Sheffield Utd,home_Southampton,home_Tottenham,home_West Brom,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Brighton,away_Burnley,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Leeds United,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Sheffield Utd,away_Southampton,away_Tottenham,away_West Brom,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2020-09-20,14:00,Matchweek 2,Newcastle Utd,Brighton,Home,-1,0,3,47.0,53.0,0.5,1.8,6.0,12.0,0.0,5.0,1.0,2.0,0.0,1.6,1.0,42.0,15.0,2.0,-1.0,1.0,3.0,1.1,1.2,52.0,13.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.5,-10.0,3.0
2020-09-20,16:30,Matchweek 2,Chelsea,Liverpool,Home,-1,0,2,39.0,61.0,0.9,2.1,4.0,18.0,2.0,5.0,1.0,3.0,1.0,1.2,1.1,48.0,9.0,4.0,1.0,4.0,3.0,2.7,0.3,49.0,20.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-1.0,-1.5000000000000002,-1.0,2.0
2020-09-20,19:00,Matchweek 2,Leicester City,Burnley,Home,1,4,2,67.0,33.0,1.2,1.4,14.0,16.0,6.0,5.0,1.0,3.0,0.0,2.8,0.4,64.0,11.0,5.0,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2020-09-21,18:00,Matchweek 2,Aston Villa,Sheffield Utd,Home,1,1,0,71.0,29.0,1.0,0.9,18.0,3.0,2.0,0.0,,,,,,,,,-1.0,0.0,2.0,1.0,1.4,55.0,9.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
2020-09-21,20:15,Matchweek 2,Wolves,Manchester City,Home,-1,1,3,35.0,65.0,0.6,1.9,10.0,13.0,1.0,8.0,1.0,2.0,0.0,1.4,1.0,45.0,11.0,4.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
2020-09-26,12:30,Matchweek 3,Brighton,Manchester Utd,Home,-1,2,3,53.0,47.0,2.5,1.5,17.0,6.0,4.0,2.0,0.0,2.0,1.5,1.4500000000000002,0.85,52.5,12.5,4.0,-1.0,1.0,3.0,1.2,1.6,75.0,17.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.2500000000000002,-22.5,1.5
2020-09-26,15:00,Matchweek 3,Crystal Palace,Everton,Home,-1,1,2,42.0,58.0,0.4,1.9,8.0,9.0,1.0,4.0,1.0,2.0,0.5,1.35,1.05,28.0,9.0,3.5,1.0,3.0,1.0,2.55,0.7000000000000001,59.5,16.0,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,-1.1999999999999997,-31.5,0.5
2020-09-26,17:30,Matchweek 3,West Brom,Chelsea,Home,0,3,3,25.0,75.0,0.6,2.0,9.0,22.0,3.0,10.0,-1.0,1.0,4.0,0.35,3.3499999999999996,32.5,6.5,2.5,0.0,1.5,1.5,1.05,1.6,43.5,6.5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-0.5,-0.7000000000000001,-11.0,-2.5
2020-09-26,20:00,Matchweek 3,Burnley,Southampton,Home,-1,0,1,53.0,47.0,0.5,0.6,10.0,5.0,2.0,1.0,-1.0,2.0,4.0,1.4,1.2,33.0,16.0,5.0,-1.0,1.0,3.0,1.45,1.6,60.0,11.0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,-0.050000000000000044,-27.0,-1.0
2020-09-27,12:00,Matchweek 3,Sheffield Utd,Leeds United,Home,-1,0,1,36.0,64.0,1.4,1.2,14.0,17.0,4.0,8.0,-1.0,0.0,1.5,0.95,1.2,42.0,6.0,0.5,0.0,3.5,3.5,0.85,2.2,51.0,7.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,-3.5,0.09999999999999998,-9.0,2.0
