date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Bournemouth,home_Brentford,home_Brighton,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Ipswich Town,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Nott'ham Forest,home_Southampton,home_Tottenham,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Bournemouth,away_Brentford,away_Brighton,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Ipswich Town,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Nott'ham Forest,away_Southampton,away_Tottenham,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2024-08-24,15:00,Matchweek 2,Manchester City,Ipswich Town,Home,1,4,1,75.0,25.0,3.3,0.3,13.0,1.0,4.0,1.0,1.0,2.0,0.0,0.8,1.0,52.0,11.0,5.0,-1.0,0.0,2.0,0.5,2.6,38.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.30000000000000004,14.0,2.0
2024-08-24,15:00,Matchweek 2,Southampton,Nott'ham Forest,Home,-1,0,1,64.0,36.0,0.1,2.2,5.0,23.0,1.0,8.0,-1.0,0.0,1.0,1.8,0.3,77.0,19.0,3.0,0.0,1.0,1.0,1.3,1.2,53.0,14.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-1.0,0.5,24.0,0.0
2024-08-24,15:00,Matchweek 2,Tottenham,Everton,Home,1,4,0,70.0,30.0,2.4,1.0,13.0,10.0,7.0,1.0,0.0,1.0,1.0,1.2,1.0,70.0,15.0,6.0,-1.0,0.0,3.0,0.5,1.4,40.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.7,30.0,2.0
2024-08-24,17:30,Matchweek 2,Aston Villa,Arsenal,Home,-1,0,2,40.0,60.0,1.2,0.9,11.0,9.0,3.0,4.0,1.0,2.0,1.0,2.0,2.3,48.0,15.0,3.0,1.0,2.0,0.0,1.2,0.5,53.0,18.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,-5.0,-1.0
2024-08-25,14:00,Matchweek 2,Bournemouth,Newcastle Utd,Home,0,1,1,39.0,61.0,2.2,1.6,16.0,14.0,4.0,5.0,0.0,1.0,1.0,1.2,1.3,47.0,13.0,4.0,1.0,1.0,0.0,0.3,1.8,23.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0.0,0.8999999999999999,24.0,-1.0
2024-08-25,14:00,Matchweek 2,Wolves,Chelsea,Home,-1,2,6,40.0,60.0,1.9,1.6,12.0,14.0,4.0,8.0,-1.0,0.0,2.0,0.5,1.2,47.0,9.0,3.0,-1.0,0.0,2.0,1.0,0.8,48.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-1.0,0.0
2024-08-25,16:30,Matchweek 2,Liverpool,Brentford,Home,1,2,0,62.0,38.0,2.5,0.5,19.0,8.0,8.0,2.0,1.0,2.0,0.0,2.6,0.5,62.0,18.0,5.0,1.0,2.0,1.0,1.6,1.2,46.0,9.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,16.0,1.0
2024-08-31,12:30,Matchweek 3,Arsenal,Brighton,Home,0,1,1,36.0,64.0,2.1,1.7,11.0,22.0,7.0,4.0,1.0,2.0,0.0,1.05,0.85,56.5,13.5,5.0,1.0,2.5,0.5,1.75,0.95,54.0,12.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,-0.7,2.5,0.5
2024-08-31,15:00,Matchweek 3,Brentford,Southampton,Home,1,3,1,37.0,63.0,2.8,1.5,20.0,18.0,7.0,6.0,0.0,1.0,1.5,1.05,1.85,42.0,8.5,3.5,-1.0,0.0,1.0,0.9500000000000001,1.25,70.5,12.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0.09999999999999998,-28.5,-0.5
2024-08-31,15:00,Matchweek 3,Everton,Bournemouth,Home,-1,2,3,47.0,53.0,1.8,2.4,18.0,17.0,8.0,7.0,-1.0,0.0,3.5,0.75,1.9,35.0,9.5,1.0,0.0,1.0,1.0,1.7000000000000002,1.4500000000000002,43.0,14.5,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-0.9500000000000002,-8.0,-2.5
